Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,2019-05-28,8719.3314849999,8776.5657880978,8819.6662969235,8555.5908335332
BTC,2019-05-29,8672.4001072907,8721.3476412347,8756.2424429279,8430.1298903369
BTC,2019-05-30,8287.0402563223,8665.8396573792,9084.1499973709,8025.5864761456
BTC,2019-06-01,8588.4795049694,8285.4963935396,8622.7299806059,8120.0894792356
BTC,2019-06-02,8744.2655607165,8589.1696417012,8830.1821538398,8523.2427413602
BTC,2019-06-04,7645.5725139007,8744.1092236193,8765.7434622966,7453.269352399
BTC,2019-06-06,7790.3211349552,7644.7987582348,7922.561139389,7586.3616207288
BTC,2019-06-07,7730.8817258862,7794.1959242062,7920.5270486164,7459.129075662
BTC,2019-06-08,8030.2560794416,7730.1859182601,8134.1668204893,7723.5396780797
BTC,2019-06-09,7949.425798625,8030.2338560247,8074.5935388233,7790.8998343964
BTC,2019-06-10,7600.9224920885,7930.8922727102,7964.0245354802,7525.5926088831
BTC,2019-06-11,7903.6252503798,7600.9225047785,8064.9001353225,7530.5341004825
BTC,2019-06-12,8151.7886797815,7903.6146316397,8249.4160670662,7824.1140843363
BTC,2019-06-13,8256.7200994618,8166.6682357284,8330.6643517846,8052.1542252186
BTC,2019-06-15,8836.1684129096,8257.2776927416,8897.9960229216,8172.4002771628
BTC,2019-06-16,9061.5404606385,8836.2496521451,9381.8197140209,8800.9956650855
BTC,2019-06-17,9346.9750871976,9061.5935249702,9409.3424621723,8969.770912568
BTC,2019-06-19,9012.4878496522,9337.754058545,9357.7732559976,8943.0971053156
BTC,2019-06-20,9559.9006885716,9011.4696762403,9599.9153349725,8967.5817148785
BTC,2019-06-21,9906.407965055,9559.9006591147,9941.5270774672,9521.83210207
BTC,2019-06-22,10461.4121688088,10206.490342332,11190.567798926,10058.4162662428
BTC,2019-06-23,10843.5709747797,10461.3904159387,11307.6935457487,10460.9988943702
BTC,2019-06-24,10996.4597495353,10843.6017701213,11104.1005162022,10539.812439096
BTC,2019-06-25,11665.4096837335,10996.4532821709,11704.6218958232,10951.0250198162
BTC,2019-06-26,12444.9258599878,11668.6658570188,13879.2377057928,11625.8810901961
BTC,2019-06-28,11086.2688286526,12444.92234283,13328.5803127139,10314.7538734517
BTC,2019-06-29,12024.0809722046,11086.2357150219,12402.0435115035,10789.984139661
BTC,2019-06-30,10932.3105071733,12024.0945221636,12187.3066985264,10837.5600652629
BTC,2019-07-02,10454.6838183291,10932.3074892823,11196.9957508963,9986.2568489798
BTC,2019-07-03,10800.1301399504,10454.7118899557,10933.8150039945,9676.5904002565
BTC,2019-07-04,11942.2402247929,10778.9100586114,11967.6544411845,10691.6694447365
BTC,2019-07-05,10946.2090547386,11942.241317492,12044.0795511745,10771.3548417135
BTC,2019-07-07,11422.1144680283,10946.20856257,11735.5709361591,10834.7758711611
BTC,2019-07-08,12335.9993946484,11422.1411587568,12354.4630323692,11335.1639503056
BTC,2019-07-10,12575.904067439,12335.9915530625,12815.6790357556,12127.712182121
BTC,2019-07-11,11324.1446969751,12585.2419743944,13175.6877367065,11011.0411202521
BTC,2019-07-12,11802.9599635884,11324.2018284256,11919.9220616201,11100.0885124471
BTC,2019-07-13,11279.6027356333,11796.7721497272,11830.8083720294,10826.035155074
BTC,2019-07-14,10506.3958273087,11402.9673057725,11463.2425199775,10316.7494887593
BTC,2019-07-15,10934.4827395525,10506.3482141274,10954.8240496507,9872.0272432166
BTC,2019-07-17,9490.4105157548,10934.4726429778,11075.3528200893,9404.3521963551
BTC,2019-07-18,9733.1321340919,9490.4381272323,9972.2451099106,9085.4894989784
BTC,2019-07-19,10466.2609381509,9693.4865106171,10797.6384591308,9282.6429998444
BTC,2019-07-21,10551.1316333347,10533.9632516606,11096.7744188936,10314.2661819319
BTC,2019-07-23,10027.5326122485,10551.127853068,10685.2481729702,9882.631831681
BTC,2019-07-24,9771.5047613175,9867.2650278599,9916.4775798314,9510.6239874291
BTC,2019-07-25,9897.4293515161,9771.5048190312,10184.4403703329,9738.0890848498
BTC,2019-07-27,9812.2263505784,9897.4134463384,9924.6025631283,9643.8818286496
BTC,2019-07-28,9495.855261405,9812.2066384441,10193.5339692602,9134.3993522774
BTC,2019-07-29,9506.704273142,9528.6934430847,9717.5142776084,9373.36942847
BTC,2019-07-31,10005.2944733245,9506.6980276749,10132.4047252828,9387.2237202366
BTC,2019-08-01,10385.2006061246,10005.2892918685,10474.7817377768,9884.7377276261
BTC,2019-08-02,10513.9114715942,10385.2129717491,10663.6187858619,10329.1969177772
BTC,2019-08-03,10831.2598554087,10513.9147450743,10909.2559240906,10498.9444263068
BTC,2019-08-04,10985.8075416287,10831.2503019415,11051.9857922455,10573.7772973823
BTC,2019-08-05,11811.7870541507,10985.8308827386,11940.4838657553,10939.5690792781
BTC,2019-08-06,11310.187223605,11811.8035625011,12314.107664862,11219.4037828653
BTC,2019-08-07,11956.0472230184,11310.2216405931,12129.4097391128,11283.6761111563
BTC,2019-08-09,11827.5745716918,11956.0228070619,12032.0465280883,11502.5279891368
BTC,2019-08-11,11278.2812549022,11827.5745728427,11967.8779622672,11227.6222137083
BTC,2019-08-12,11391.9686539038,11279.875538619,11583.8906973405,11101.0148454184
BTC,2019-08-13,10869.3791128623,11391.9638254355,11434.8885296357,10746.7559476825
BTC,2019-08-14,10211.4985816982,10851.200469968,10860.8239741865,10047.9951301391
BTC,2019-08-16,10386.5395500195,10211.509511264,10444.0799631082,9682.7114223927
BTC,2019-08-17,10212.1014417394,10307.2597589846,10530.365307162,9726.9781503814
BTC,2019-08-18,10335.3728385716,10211.6709254074,10462.7495056741,10082.2654915398
BTC,2019-08-20,10818.5070076193,10335.3744772756,10943.8704129867,10264.4564614099
BTC,2019-08-21,10064.9167944793,10818.5226287878,10818.5891317862,9864.136684453
BTC,2019-08-23,10364.2813536875,10064.9310569138,10450.2923381724,9762.0524126348
