Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,2020-04-01,6537.3364615033,6461.6102859397,6605.4444557466,6159.5824510417
BTC,2020-04-02,6850.5587116906,6537.6869903915,7212.7251455572,6519.9348986302
BTC,2020-04-03,6776.370093566,6850.5606755792,7049.7063662037,6612.6779556242
BTC,2020-04-04,6855.9332644576,6772.0073009494,7003.1261340455,6664.6108047468
BTC,2020-04-05,6805.3622868989,6856.5639073293,6908.855128041,6684.7157318651
BTC,2020-04-06,7278.2439697658,6809.0045677517,7319.9780929005,6775.1110139068
BTC,2020-04-07,7175.6674765579,7277.7042816172,7464.7322447448,7081.6392093517
BTC,2020-04-08,7367.2933984502,7175.6694181696,7424.7437205815,7155.2110526204
BTC,2020-04-09,7320.9004292031,7366.9009606414,7399.4691329835,7125.7755189952
BTC,2020-04-10,6866.3981890103,7321.2967187579,7326.0779575422,6752.5936636938
BTC,2020-04-11,6872.0592040915,6866.4308247086,6949.7888750096,6777.8896942429
BTC,2020-04-12,7127.6990663614,6872.0596794307,7201.9903551464,6797.7790628043
BTC,2020-04-13,6841.0014800359,7127.7033942481,7153.7303104701,6600.7714938355
BTC,2020-04-14,6860.5021277569,6842.2411831138,6991.3263967632,6772.3221319856
BTC,2020-04-15,6718.7999502834,6860.5024218199,6942.9070804085,6701.0211163339
BTC,2020-04-16,7166.5828171387,6717.9613820537,7178.7658941716,6486.5313078652
BTC,2020-04-17,7065.0823890422,7162.5272306278,7200.3172088039,6996.1491089494
BTC,2020-04-18,7277.1405855631,7065.0660857569,7301.814370888,7029.0159611769
BTC,2020-04-19,7185.87030343,7277.1406537464,7292.862985328,7066.9471850573
BTC,2020-04-20,6854.8045058671,7185.8708309939,7221.9159066607,6764.4306986679
BTC,2020-04-21,6901.1260908635,6854.7978555129,6954.0051366353,6782.2393714434
BTC,2020-04-22,7099.9798345551,6901.1250065151,7165.5200044019,6831.9479064183
BTC,2020-04-23,7595.4069555286,7098.7901554456,7725.6716992521,7037.5548449005
BTC,2020-04-24,7497.8617638281,7595.4204916895,7608.3111430331,7407.2669223098
BTC,2020-04-25,7542.3034007032,7497.8598814457,7702.0189800703,7445.6858982455
BTC,2020-04-26,7624.8537859232,7542.3031009324,7707.5942705341,7503.7701429692
BTC,2020-04-27,7743.3832081676,7624.8543379743,7798.2766558804,7621.4870822181
BTC,2020-04-28,7761.7587840758,7743.3842369963,7793.6360176131,7677.1787739545
BTC,2020-04-29,8773.1064879583,7761.7586189955,8973.0792774804,7725.5426535376
BTC,2020-04-30,8767.6726233679,8768.0471796589,9469.0784232378,8415.4747401737
BTC,2020-05-01,8853.7744840141,8767.6721431836,9073.817530476,8593.380362901
BTC,2020-05-02,8951.5565860608,8850.7887561659,9037.3419273063,8780.0379253879
BTC,2020-05-03,8904.713816537,8951.5572440409,9223.3855340319,8747.4334188812
BTC,2020-05-04,8955.3419031908,8904.5593937405,8960.1814141736,8539.5111073234
BTC,2020-05-05,8978.2835871237,8955.3352460327,9112.8661506733,8784.0995901784
BTC,2020-05-06,9294.8214621603,8978.2866298249,9392.6354471211,8927.7770678731
BTC,2020-05-07,9900.678866615,9294.8229193464,9958.7339977809,9065.9210447116
BTC,2020-05-08,9917.2484143422,9903.8307542943,10062.7159146252,9732.8065476399
BTC,2020-05-09,9617.5181949278,9917.2531744633,9957.1109283117,9546.0409925606
BTC,2020-05-10,8786.655181651,9616.3770636512,9650.0186029482,8166.4921878884
BTC,2020-05-11,8608.125245038,8786.6563125805,9176.1863902424,8206.3315046888
BTC,2020-05-12,8815.2312449023,8608.1199369808,8980.6245047804,8509.5642150125
BTC,2020-05-13,9330.986484701,8815.2280660878,9416.5901827296,8787.9084557249
BTC,2020-05-14,9757.2965855933,9330.9852680521,9940.9560817515,9273.4165870495
BTC,2020-05-15,9362.6355569661,9757.3144452778,9851.2847767483,9155.515350643
BTC,2020-05-16,9418.9185505051,9362.6366461472,9583.062439468,9219.3622046505
BTC,2020-05-17,9684.7019593528,9418.913715302,9879.7120397774,9327.7638326824
BTC,2020-05-18,9708.4520162397,9684.7006289371,9933.9762248941,9523.8489924753
BTC,2020-05-19,9687.6793244745,9708.3182745492,9899.77599404,9473.7422660036
BTC,2020-05-20,9565.7573992705,9687.3280841599,9834.55781877,9332.915195977
BTC,2020-05-21,9139.8134948522,9566.1703567349,9571.9627904598,8806.7428387451
BTC,2020-05-22,9192.9317128527,9140.4400707484,9265.2515997115,8934.3807281482
BTC,2020-05-23,9222.9448417899,9193.1987119595,9311.8493382119,9093.8343146841
BTC,2020-05-24,9078.8494449602,9222.9448417899,9301.1793115488,8856.4708625726
BTC,2020-05-25,8886.7691596622,9077.6229354137,9077.6229354137,8645.2125479474
BTC,2020-05-26,8862.7338549959,8887.2620178178,9010.8974427745,8707.1240715533
BTC,2020-05-27,9092.9099141625,8863.0108401807,9224.7449647518,8808.6606637093
BTC,2020-05-28,9423.7988763205,9092.2428723865,9523.4574741366,9008.0584497886
BTC,2020-05-29,9395.7222955905,9423.707219429,9621.6132306645,9335.814885905
