"Date","Price","Open","High","Low","Vol.","Change %"
"May 26, 2020","8,000.1","8,167.6","8,254.0","7,943.5","12.51K","-2.08%"
"May 25, 2020","8,170.0","8,005.3","8,245.7","7,933.8","9.48K","2.06%"
"May 24, 2020","8,005.0","8,427.3","8,535.8","7,995.2","12.13K","-5.01%"
"May 23, 2020","8,427.3","8,422.4","8,545.0","8,356.1","5.96K","0.10%"
"May 22, 2020","8,418.7","8,283.4","8,511.4","8,190.5","14.92K","1.63%"
"May 21, 2020","8,283.4","8,674.1","8,732.5","8,045.1","27.75K","-4.50%"
"May 20, 2020","8,674.1","8,954.4","8,998.7","8,542.3","19.19K","-3.13%"
"May 19, 2020","8,954.4","8,911.6","9,025.0","8,691.2","17.00K","0.48%"
"May 18, 2020","8,911.6","8,932.4","9,160.3","8,764.7","18.90K","-0.23%"
"May 17, 2020","8,932.4","8,685.6","9,092.7","8,637.0","15.48K","2.84%"
"May 16, 2020","8,685.6","8,608.6","8,856.3","8,526.4","8.46K","0.89%"
"May 15, 2020","8,608.9","9,055.5","9,098.3","8,467.1","24.34K","-4.93%"
"May 14, 2020","9,055.8","8,615.9","9,197.0","8,583.0","34.93K","5.11%"
"May 13, 2020","8,615.9","8,145.3","8,713.6","8,133.8","20.27K","5.78%"
"May 12, 2020","8,145.3","7,930.0","8,284.8","7,911.4","18.69K","2.25%"
"May 11, 2020","7,966.3","8,074.5","8,502.2","7,585.5","34.61K","-1.35%"
"May 10, 2020","8,075.1","8,813.7","8,829.5","7,636.0","51.52K","-8.40%"
"May 09, 2020","8,816.0","9,054.7","9,148.9","8,793.2","18.29K","-2.66%"
"May 08, 2020","9,057.2","9,216.2","9,260.5","8,986.8","23.78K","-1.77%"
"May 07, 2020","9,220.0","8,496.4","9,270.5","8,385.4","40.41K","8.55%"
"May 06, 2020","8,493.6","8,339.1","8,716.5","8,244.9","20.03K","1.86%"
"May 05, 2020","8,338.2","8,154.0","8,387.1","8,111.1","18.48K","2.22%"
"May 04, 2020","8,157.0","8,136.4","8,230.1","7,817.0","19.81K","0.25%"
"May 03, 2020","8,136.4","8,178.3","8,369.2","7,979.5","17.80K","-0.51%"
"May 02, 2020","8,178.3","8,039.2","8,205.9","7,989.9","10.71K","1.73%"
"May 01, 2020","8,039.2","7,894.8","8,287.4","7,891.5","18.73K","1.75%"
"Apr 30, 2020","7,900.7","8,078.2","8,735.9","7,697.1","39.31K","-2.21%"
"Apr 29, 2020","8,079.1","7,179.8","8,264.2","7,138.3","53.20K","12.52%"
"Apr 28, 2020","7,179.9","7,202.9","7,207.7","7,106.1","12.35K","-0.33%"
"Apr 27, 2020","7,203.8","7,123.9","7,210.7","7,058.2","14.88K","1.12%"
"Apr 26, 2020","7,123.9","6,989.5","7,136.4","6,967.6","10.46K","1.91%"
"Apr 25, 2020","6,990.1","6,944.6","7,125.9","6,894.7","8.25K","0.65%"
"Apr 24, 2020","6,944.6","6,928.2","7,063.7","6,852.6","14.22K","0.26%"
"Apr 23, 2020","6,927.0","6,593.6","7,122.4","6,509.2","23.94K","5.06%"
"Apr 22, 2020","6,593.4","6,324.1","6,623.9","6,304.3","14.15K","4.26%"
"Apr 21, 2020","6,324.1","6,308.3","6,416.7","6,276.8","14.67K","0.25%"
"Apr 20, 2020","6,308.6","6,570.2","6,652.4","6,247.5","18.42K","-3.98%"
"Apr 19, 2020","6,570.2","6,681.5","6,695.8","6,518.3","6.94K","-1.69%"
"Apr 18, 2020","6,683.1","6,482.0","6,718.4","6,473.8","8.18K","3.08%"
"Apr 17, 2020","6,483.4","6,547.6","6,602.1","6,453.5","11.53K","-0.99%"
"Apr 16, 2020","6,548.4","6,084.6","6,628.7","5,958.4","27.07K","7.62%"
"Apr 15, 2020","6,084.5","6,270.5","6,331.0","6,070.8","9.62K","-2.98%"
"Apr 14, 2020","6,271.4","6,284.8","6,382.2","6,217.2","12.74K","-0.24%"
"Apr 13, 2020","6,286.7","6,329.4","6,331.7","6,055.8","15.76K","-0.70%"
"Apr 12, 2020","6,331.3","6,312.4","6,601.1","6,229.0","11.58K","0.30%"
"Apr 11, 2020","6,312.4","6,295.4","6,368.4","6,210.3","6.19K","0.27%"
"Apr 10, 2020","6,295.4","6,685.4","6,695.5","6,178.4","20.36K","-5.83%"
"Apr 09, 2020","6,685.5","6,787.9","6,791.6","6,565.4","8.62K","-1.50%"
"Apr 08, 2020","6,787.4","6,610.5","6,831.6","6,581.9","14.06K","2.65%"
"Apr 07, 2020","6,612.0","6,799.5","6,903.6","6,505.0","23.55K","-2.78%"
"Apr 06, 2020","6,801.0","6,287.1","6,812.0","6,278.4","24.02K","8.17%"
"Apr 05, 2020","6,287.1","6,366.9","6,396.0","6,207.7","5.61K","-1.27%"
"Apr 04, 2020","6,367.8","6,248.0","6,478.6","6,188.0","7.64K","1.92%"
"Apr 03, 2020","6,247.8","6,256.0","6,524.1","6,142.6","19.67K","-0.18%"
"Apr 02, 2020","6,259.0","6,079.3","6,640.8","6,020.7","33.29K","2.95%"
"Apr 01, 2020","6,079.9","5,841.0","6,117.2","5,651.5","13.12K","4.11%"
"Mar 31, 2020","5,839.8","5,809.4","5,945.4","5,805.9","9.88K","0.53%"
"Mar 30, 2020","5,809.1","5,288.1","5,992.4","5,279.4","18.00K","9.85%"
"Mar 29, 2020","5,288.3","5,628.8","5,649.6","5,286.5","14.21K","-6.06%"
"Mar 28, 2020","5,629.3","5,746.4","5,746.4","5,438.5","22.89K","-2.05%"
"Mar 27, 2020","5,747.1","6,132.1","6,228.3","5,694.4","16.82K","-6.28%"
"Mar 26, 2020","6,132.1","6,166.4","6,244.6","5,988.0","18.28K","-0.56%"
"Mar 25, 2020","6,166.4","6,277.3","6,454.7","6,015.8","20.04K","-1.77%"
"Mar 24, 2020","6,277.3","6,046.2","6,350.9","5,935.7","30.34K","3.78%"
"Mar 23, 2020","6,048.8","5,468.0","6,150.5","5,355.1","30.93K","10.55%"
"Mar 22, 2020","5,471.4","5,822.3","6,008.8","5,407.5","18.72K","-5.94%"
"Mar 21, 2020","5,817.2","5,819.8","6,061.0","5,506.4","17.89K","-0.05%"
"Mar 20, 2020","5,819.8","5,826.6","6,489.8","5,310.6","59.49K","-0.14%"
"Mar 19, 2020","5,828.0","4,952.4","6,045.7","4,851.0","57.08K","17.71%"
"Mar 18, 2020","4,951.0","4,873.3","4,978.8","4,606.3","31.57K","1.53%"
"Mar 17, 2020","4,876.2","4,525.8","5,074.1","4,436.6","36.07K","7.74%"
"Mar 16, 2020","4,525.8","4,823.8","4,845.5","4,028.3","48.70K","-6.17%"
"Mar 15, 2020","4,823.1","4,691.9","5,369.4","4,640.4","23.66K","2.80%"
"Mar 14, 2020","4,691.6","5,118.2","5,132.7","4,580.7","20.44K","-8.21%"
"Mar 13, 2020","5,111.0","4,395.7","5,426.1","3,568.3","96.06K","16.01%"
"Mar 12, 2020","4,405.5","7,058.8","7,078.4","4,232.2","77.31K","-37.59%"
"Mar 11, 2020","7,058.8","6,978.1","7,094.3","6,732.2","14.37K","1.16%"
"Mar 10, 2020","6,978.1","6,952.7","7,183.6","6,823.3","18.95K","0.32%"
"Mar 09, 2020","6,955.6","7,077.3","7,205.0","6,630.5","28.02K","-1.72%"
"Mar 08, 2020","7,077.4","7,897.5","7,897.9","7,044.2","16.56K","-10.38%"
"Mar 07, 2020","7,897.5","8,123.4","8,167.7","7,861.4","5.14K","-2.80%"
"Mar 06, 2020","8,125.1","8,099.7","8,156.9","7,996.6","6.37K","0.39%"
"Mar 05, 2020","8,093.3","7,876.2","8,200.7","7,876.2","11.87K","2.76%"
"Mar 04, 2020","7,876.2","7,853.1","7,937.8","7,817.7","8.02K","0.29%"
"Mar 03, 2020","7,853.1","8,015.5","8,034.6","7,771.6","8.87K","-2.03%"
"Mar 02, 2020","8,015.5","7,729.6","8,074.1","7,702.4","12.68K","3.63%"
"Mar 01, 2020","7,734.5","7,756.3","7,941.3","7,645.4","6.09K","-0.28%"
"Feb 29, 2020","7,756.2","7,895.6","7,989.8","7,754.9","4.52K","-1.76%"
"Feb 28, 2020","7,895.2","8,031.1","8,116.3","7,684.9","14.04K","-1.61%"
"Feb 27, 2020","8,024.6","8,079.0","8,186.7","7,842.6","15.26K","-0.67%"
"Feb 26, 2020","8,079.0","8,564.6","8,631.5","7,940.7","21.45K","-5.67%"
"Feb 25, 2020","8,564.7","8,918.3","8,941.1","8,508.9","9.93K","-3.94%"
"Feb 24, 2020","8,916.1","9,199.8","9,238.6","8,746.6","8.87K","-3.12%"
"Feb 23, 2020","9,203.5","8,929.6","9,232.4","8,926.2","5.41K","3.07%"
"Feb 22, 2020","8,929.5","8,951.3","8,978.1","8,845.2","2.59K","-0.25%"
"Feb 21, 2020","8,951.5","8,912.9","9,058.9","8,849.7","6.83K","0.43%"
